published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-18T08:43:14.218077,5 hours ago,Elton John brands government 'absolute losers' over AI copyright plans,2025-05-18T13:43:14.215995,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T12:43:14.219091,1 hour ago,Elton John says UK government being ‘absolute losers’ over AI copyright plans,2025-05-18T13:43:14.219091,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T13:13:14.220886,30 minutes ago,'Criminal': Elton John condemns UK's AI copyright plans,2025-05-18T13:43:14.220083,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Apple’s Alibaba A.I. Deal Provokes Washington’s Resistance,2025-05-18T13:43:14.221883,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Trump administration is concerned by deal to put Alibaba's AI on iPhones: Report,2025-05-18T13:43:14.222883,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:43:14.224884,2 days ago,Big Chinese companies like Alibaba show that AI-powered ads are giving shopping a boost,2025-05-18T13:43:14.223883,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T13:03:14.225882,40 minutes ago,AI study finds 'no significant impact on earnings or recorded hours',2025-05-18T13:43:14.224884,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fortune.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:43:14.226882,2 days ago,MIT Says It No Longer Stands Behind Student’s AI Research Paper,2025-05-18T13:43:14.225882,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T11:43:14.227884,2 hours ago,AI breakthrough allows doctors to 'see' dangerous blood clots forming,2025-05-18T13:43:14.227884,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.foxnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:43:14.228883,2 days ago,"House Republicans include a 10-year ban on US states regulating AI in ‘big, beautiful’ bill",2025-05-18T13:43:14.228883,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:43:14.230883,22 hours ago,China’s next-gen surveillance tools get AI boost to target Telegram or VPN users,2025-05-18T13:43:14.229883,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.scmp.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T07:43:14.231884,6 hours ago,"Microsoft's fired AI director to 6,000 laid off employees along with her: 'These are people who…'",2025-05-18T13:43:14.230883,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://timesofindia.indiatimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:43:14.232883,22 hours ago,"Nvidia CEO: If I were a student today, here's how I'd use AI to do my job better—it ‘doesn’t matter’ the profession",2025-05-18T13:43:14.231884,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Nvidia CEO Sees No Evidence of AI Chip Diversion Into China,2025-05-18T13:43:14.232883,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T05:43:14.234883,8 hours ago,Former Google CEO Eric Schmidt may have just agreed with ‘AI warning’ of Nvidia’s Jensen Huang,2025-05-18T13:43:14.234883,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://timesofindia.indiatimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:43:14.235882,3 days ago,Exclusive | Meta Is Delaying the Rollout of Its Flagship AI Model,2025-05-18T13:43:14.235882,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,"Nvidia gets an AI boost, Meta hits a AI roadblock, and Apple's brutal year: Tech news roundup",2025-05-18T13:43:14.236882,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://qz.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:43:14.237882,3 days ago,Meta Shares Slip on Report That It’s Delaying Flagship AI Model,2025-05-18T13:43:14.237882,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T12:43:14.238882,1 hour ago,Artificial intelligence,2025-05-18T13:43:14.238882,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
