published_datetime,published_time,publisher,scraped_at,thumbnail_url,title,url
2025-05-18T09:49:51.668676,4 hours ago,‘World champion of appropriation’ Grayson Perry says he isn’t bothered by AI using his work,2025-05-18T13:49:51.667677,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",‘World champion of appropriation’ Grayson Perry says he isn’t bothered by AI using his work,https://news.google.com/read/CBMi2AFBVV95cUxNYjFUMnBodVZ4ZWt4c1JNQU9mZmxRUGlGMFRHbDJLWWpCa0owRllGaDFpQnlOdHBIY0RFTzZSaDhtZG1ocjE2M194ZFJLVkp4WVctOWRHRXZtcWctRzNTQzMwVFFwU0lRa19XN1JiMWtDcFA0NzNnTFR2R0ZGMk9pdlVwcFJqRHlvRGwxczFuZC1PemxUWU9iMVNrWW9ZbGk4WUJCc3RrR0YybjdqWXpGZnhvZUVoLTZHRHExblBXd2d5VnBfWkVsRmRYcm1zSXFLQzJVdlpIWFg?hl=en-US&gl=US&ceid=US%3Aen
2025-05-17T15:49:51.669677,22 hours ago,China’s next-gen surveillance tools get AI boost to target Telegram or VPN users,2025-05-18T13:49:51.668676,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.scmp.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",China’s next-gen surveillance tools get AI boost to target Telegram or VPN users,https://news.google.com/read/CBMizwFBVV95cUxNQ044ZWxCMkdzQkhMVFZwWU5lcC1MZ2RtemJ0Yy1zcElDWWRHcTVyS2RMaWFZNEZIT25wZDM3RHY0V09OMnRMb01XbXNfdGRBMzhUUU51N0xHQ0ZEbWdjODFSVWhkVzltVVZVeUtqR2twdmlUVy05Sk02OF93ZnZYWHhFXzRMTTNXVlhacWVDbzVpeml4RUFXWjdBLU1wZU03SE5wd281WjJ4M0liczJnMmhkZkJ1U21ZdGFBSlhYa28yYmdiZGJlSmJNOFlzZk3SAc8BQVVfeXFMTkZNRVl0SHRTSVNGdWhId3g1d1NDZ0x3bnExY0VKd2I3VFZELTRDSlJpYjZ5a2pDQXJNUHFwTDJrV1U2Sm9vY2gwZjVUWTh4djZZVkNmVmhuZWJ4NHZrNnhSa1VyRmZaa2ROb3JDcW1tWTJ4Zl9GQUQtNTN5c2RnVGY2VnBIalBoSTllZUdZZTc0ZHhlOG5BeURhSjBfZTNIVWpPQ3dMazRPOHNhNl9Xa3NxMEoxQ2tfcWl4bHgzQk5ZZ3BGdnBIVG5mNWxWZ1pv?hl=en-US&gl=US&ceid=US%3Aen
2025-05-17T21:49:51.670677,16 hours ago,MIT disavows doctoral student paper on AI’s productivity benefits,2025-05-18T13:49:51.669677,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://techcrunch.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",MIT disavows doctoral student paper on AI’s productivity benefits,https://news.google.com/read/CBMioAFBVV95cUxNTDNQNktVM01FZEo4Z0xpU1ktX0trN1RZb3lxNWZsTXR2TjgtT0lTeGxpa1BkVEFaWVNEaXF2TjRxREJhd2RJVlcxQVdzdGFyMlMyQWtYeDdiNnUtd25NRjZWT0VOVWk0UEpKZTZfZTJTRWMxVGFJaV9tMjFRaHpKOEhlOGY2SmdzYXk4b0lNc1NwNEVRRnpOcW1FMVppczB4?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T12:49:51.671689,1 hour ago,Move over SEO: How AI is rewriting the rules of digital marketing | Opinion,2025-05-18T13:49:51.670677,"https://encrypted-tbn3.gstatic.com/faviconV2?url=http://www.theleafchronicle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Move over SEO: How AI is rewriting the rules of digital marketing | Opinion,https://news.google.com/read/CBMisgFBVV95cUxOUTFOdGo1Y2ZYOEtORTZtNHA0ZnpfNWF1cUZDM3pBZlB0SlcxN0lsR2tRUFhwV21tZ3pkYi1FOXE5WEtwNVZsZkw4eWJwMllvM2VKY2dhMWJnWmVLSl8tRHZsODlvc0RTUE9WZ0NjcE9RMUR3V2RZeWQ3SHA4T1FieE9PRXJ6WHBPWWxtRXhGc0lUdXNLUmpwbGlkODNwVHlYWXBuYUVVV2l0bU42ODZ3WlNn?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T12:49:51.672678,1 hour ago,NIH researchers develop custom AI to enhance images of RPE cells,2025-05-18T13:49:51.671689,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.ophthalmologytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",NIH researchers develop custom AI to enhance images of RPE cells,https://news.google.com/read/CBMipwFBVV95cUxOUEJrZzhSWnRtcVNTOUhlLUdyX2R2bV9NRU5WandqZFAxMFhra3lxM3BsS3VHdVhEX3N0YzdMV1lfWm1odV9naTZQSXp3WG00MkhZMlF4a0plS1RvWGtzWlN3QmN3aFdNTTU0UGZOcHpIUy01eXMzejVBR3dtZ21CMm05Q2Z5S1ZsY291dEFiZWJQTDJlUFN6elB3RGlkbXVxbDdxQ2plUQ?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T11:49:51.673677,2 hours ago,AI Chatbots Are Becoming Even Worse At Summarizing Data,2025-05-18T13:49:51.672678,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://futurism.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",AI Chatbots Are Becoming Even Worse At Summarizing Data,https://news.google.com/read/CBMiY0FVX3lxTFBvS0IwRzI0VHYtZ1RYdXo3di1ZOXV0QjBwdmh6VVBPaUg2SmNsV1hrQ3pvdC1SQU5ZZG51cW8zNS1LSEtFaUxSMndvTjhhQVdsVTRRMFBFRnZtaUtQOVpBM3dyZw?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T08:49:51.674677,5 hours ago,OpenAI Codex: Transforming Software Development with AI Agents,2025-05-18T13:49:51.673677,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://devops.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",OpenAI Codex: Transforming Software Development with AI Agents,https://news.google.com/read/CBMiiAFBVV95cUxNNTdWZFhpNWJZVUpmVjU2TV9PSF9aS0x5MHNfdTRRTlRGM1BNVDBEU1lqdm12SnNsVzVsXzdFQXpkSXptOENPNnk0QnB1SHE3R1ItYTd4VlkwNTVQZkZsMFRDQS1nTFY3VnlqQVNEc0RfcjhFanhLbHduT0s1c0JyTnVWWnhtbThY?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T12:49:51.675677,1 hour ago,"He lost his job to AI. Now, he has advice on how to be ready for the coming wave.",2025-05-18T13:49:51.674677,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.businessinsider.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","He lost his job to AI. Now, he has advice on how to be ready for the coming wave.",https://news.google.com/read/CBMijwFBVV95cUxPNFhCWHgtdXhxdU1obHJ4NWE2WFJEM09oZDZkSVptcnktNE04bDNLUW1sNFhWc2VhNVlFVFk1Y1JxSkZhcVJBWlJKT0JCMUtUWHlubEZQTkVWb2tjYjV6NE9YRk1QWng5dFZSQTJZeHhWNHkwWTlMV2FhX3dDSkpMLUZkTDE1TWkxU3FGYmFsUQ?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T10:49:51.675677,3 hours ago,Y Combinator’s AI Revolution And The Rise Startups Built By Vibe Coding,2025-05-18T13:49:51.675677,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.forbes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Y Combinator’s AI Revolution And The Rise Startups Built By Vibe Coding,https://news.google.com/read/CBMiwAFBVV95cUxOX0M4NEFNTWhFSzFPeHRsNXQwc2ladWs0WDdiUlRKSUhiZzRHaG9OakdkdDVuTC0yaVozWUh4aVlGTjg4S2g2RV9hMzNXVHViNk1vNXRMZVRfa3pQRXAxVmlia2lGTVhQZHBqZnoxbkJwaVpKMThBUGlrdlZoaEZSczBfT0FMaV85TjZkX0ZDZk16ZGpBUFZPRUV2R2xub3Q5QllhY2ZDaHYyUlB1ZTY0bmtaOV9aVU9KUWNqNTV6bWo?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T12:49:51.676676,1 hour ago,FBI warns against AI-powered text scams,2025-05-18T13:49:51.676676,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://dig.watch&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",FBI warns against AI-powered text scams,https://news.google.com/read/CBMic0FVX3lxTE96SEp4NHhVcVF6NFdCU2d3eTQ0X3U2MXdpOUQzaG41WTdXQTNxNUpmamh6aUdjNVpDYzVvbHM3bGhsZEVJT1RjWTRsNUJwUVN6YkVDNDRaZndzeVZJajN3TmFnemphR0JTN1pIZkI5M3Q1VU0?hl=en-US&gl=US&ceid=US%3Aen
Yesterday,Yesterday,Apple’s Alibaba A.I. Deal Provokes Washington’s Resistance,2025-05-18T13:49:51.677677,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Apple’s Alibaba A.I. Deal Provokes Washington’s Resistance,https://news.google.com/read/CBMihAFBVV95cUxOVVdRcV95S2dOV2ltNk1DYkNwdWJ6cEhtN3o2ZVBlRU9mYWRlcDNzRWdxeFpoM19YVzRFZS0xZkphbW5BMUR0Sm9lWFhhcnpDLWZ5TW9JaW9OY3VaQjBJbGlYWEhadms3bmx1dUVTNVRIXy1VcWNQZkVtMzc2LUdNZGgtb1k?hl=en-US&gl=US&ceid=US%3Aen
