published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-18T12:40:53.261386,1 hour ago,Elton John says UK government being ‘absolute losers’ over AI copyright plans,2025-05-18T13:40:53.260388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,What Is Lost with the Rise of AI,2025-05-18T13:40:53.261386,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://evolutionnews.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T19:40:53.263386,18 hours ago,"US slams brakes on AI Diffusion Rule, hardens chip export curbs",2025-05-18T13:40:53.262387,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.artificialintelligence-news.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.266396,3 days ago,Google hits 150 million users for subscription service with help of AI,2025-05-18T13:40:53.264386,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.267388,2 days ago,Trump's AI deals in Gulf stir China fears back home,2025-05-18T13:40:53.267388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.axios.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.269387,3 days ago,"China launches first of 2,800 satellites for AI space computing constellation",2025-05-18T13:40:53.268388,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://spacenews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T12:40:53.270394,1 hour ago,Sir Elton John 'very angry' over AI plans,2025-05-18T13:40:53.269387,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.271388,2 days ago,"Weeks after Amazon's Alexa+ AI launch, a mystery: where are the users?",2025-05-18T13:40:53.270394,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Elon Musk's AI company says Grok chatbot focus on South Africa's racial politics was 'unauthorized',2025-05-18T13:40:53.272390,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T13:04:53.274387,36 minutes ago,Oracle (ORCL) Launches New AI Health Agent in Canada,2025-05-18T13:40:53.273389,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.276416,2 days ago,Elon Musk’s chatbot just showed why AI regulation is an urgent necessity,2025-05-18T13:40:53.275387,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.msnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T12:50:53.277623,50 minutes ago,Bill Gates names three well-paying jobs that are safe from AI,2025-05-18T13:40:53.276416,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.irishstar.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.278582,4 days ago,Republicans propose prohibiting US states from regulating AI for 10 years,2025-05-18T13:40:53.278582,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.279603,2 days ago,"Oracle, Cleveland Clinic, and G42 Announce Strategic Partnership to Launch AI-Based Global Healthcare Delivery Platform",2025-05-18T13:40:53.279603,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.oracle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Microsoft says it provided AI to Israeli military for war but denies use to harm people in Gaza,2025-05-18T13:40:53.280599,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.282612,3 days ago,"New AI and accessibility updates across Android, Chrome and more",2025-05-18T13:40:53.281509,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://blog.google&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.283529,2 days ago,"US and UAE plan to build 5GW AI data center campus, run by G42 and American hyperscalers",2025-05-18T13:40:53.282612,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.datacenterdynamics.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.285388,2 days ago,Trump agrees deal for UAE to build largest AI campus outside US,2025-05-18T13:40:53.283529,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T13:10:53.287388,30 minutes ago,'Criminal': Elton John condemns UK's AI copyright plans,2025-05-18T13:40:53.286387,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.tradingview.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.288387,3 days ago,"UAE to build biggest AI campus outside US in Trump deal, bypassing past China worries",2025-05-18T13:40:53.287388,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.289388,2 days ago,Trump wraps up Gulf tour with AI and energy deals in UAE,2025-05-18T13:40:53.289388,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T06:40:53.291387,7 hours ago,It pays to use AI on the sly at work,2025-05-18T13:40:53.290387,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ft.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.292391,2 days ago,Watch: World leaders laugh at AI-generated video of themselves as babies,2025-05-18T13:40:53.291387,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://edition.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:40:53.293386,5 days ago,Inside the first U.S. medical school to fully incorporate AI into its doctor training program,2025-05-18T13:40:53.292391,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T15:40:53.294387,22 hours ago,"AI models can't tell time or read a calendar, study reveals",2025-05-18T13:40:53.293386,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.livescience.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.296410,3 days ago,"With AI, researchers predict the location of virtually any protein within a human cell",2025-05-18T13:40:53.295388,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://news.mit.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
