published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-16T13:44:59.819514,2 days ago,"Waronomics: India-Pak wars won’t stop at LoC, they’ll hit the economy hard, from trade to balance sheets",2025-05-18T13:44:59.819514,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.821484,10 days ago,"May 7, 2025 India launches attacks on Pakistan after Kashmir massacre",2025-05-18T13:44:59.820424,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://edition.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-10T13:44:59.822667,8 days ago,India and Pakistan agree ceasefire: What does it mean?,2025-05-18T13:44:59.821484,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-09T13:44:59.823604,9 days ago,Vance says US won’t intervene in India-Pakistan conflict: ‘None of our business’,2025-05-18T13:44:59.822667,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-10T13:44:59.824642,8 days ago,India-Pakistan War: Chinese Weapons Get Combat Test,2025-05-18T13:44:59.823604,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.newsweek.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.825633,10 days ago,India and Pakistan: A Timeline of Tensions Over Kashmir,2025-05-18T13:44:59.824642,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://time.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.826631,10 days ago,The latest developments in the India-Pakistan conflict,2025-05-18T13:44:59.826631,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.827635,11 days ago,Why are India and Pakistan on the brink of war and how dangerous is the situation? An expert explains,2025-05-18T13:44:59.827635,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://theconversation.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-12T13:44:59.828631,6 days ago,What’s Behind the Enduring India-Pakistan Conflict?,2025-05-18T13:44:59.828631,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.830425,11 days ago,India preps for possible retaliation after hitting Pakistan with missile strike as Kashmir tension soars,2025-05-18T13:44:59.829631,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Apr 22,Apr 22,U.S. Intelligence on South Asian Conflict Scenarios,2025-05-18T13:44:59.830425,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://nsarchive.gwu.edu&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.832430,10 days ago,"Not taking India-Pakistan escalation seriously a 'huge risk,' warns conflict expert",2025-05-18T13:44:59.831426,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.npr.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.833424,17 days ago,"The rising tension between India and Pakistan, briefly explained",2025-05-18T13:44:59.832430,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.vox.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-06T13:44:59.834424,12 days ago,"India fired missiles into Pakistan, which has vowed to strike back. A look at the nuclear rivals",2025-05-18T13:44:59.833424,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-06T13:44:59.835613,12 days ago,"India strikes Pakistan after Kashmir attack, raising fears of war",2025-05-18T13:44:59.835613,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.washingtonpost.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.836630,11 days ago,What to know about the India-Pakistan conflict: India strikes and Kashmir attack follow long history of tension and war,2025-05-18T13:44:59.836630,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.nbcnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Apr 28,Apr 28,"India-Pakistan tensions: US, China urge de-escalation",2025-05-18T13:44:59.837631,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.dw.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Apr 27,Apr 27,India And Pakistan Are On The Brink Of Conflict. Here's Why.,2025-05-18T13:44:59.838632,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.rferl.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.839490,10 days ago,India and Pakistan accuse each other of ‘violations’ after ceasefire deal,2025-05-18T13:44:59.839490,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-11T13:44:59.840459,7 days ago,The Danger for India and Pakistan Has Not Gone Away,2025-05-18T13:44:59.840459,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:44:59.841680,5 days ago,"India Pakistan News Live Updates: Trump reiterates his claim of brokering talks between India, Pakistan t...",2025-05-18T13:44:59.841680,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:44:59.842619,3 days ago,India-Pakistan conflict: Why Delhi could not stop IMF bailout to Islamabad,2025-05-18T13:44:59.842619,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-12T13:44:59.843631,6 days ago,India and Pakistan both claim victory. But this latest conflict has no winners,2025-05-18T13:44:59.843631,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-06T13:44:59.844629,12 days ago,India and Pakistan blame each other for escalating military tensions,2025-05-18T13:44:59.844629,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-06T13:44:59.845633,12 days ago,India Strikes Pakistan but Is Said to Have Lost Aircraft,2025-05-18T13:44:59.845633,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:44:59.846631,5 days ago,India expels Pakistan diplomat as war of words simmers in place of fighting,2025-05-18T13:44:59.846631,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-09T13:44:59.847673,9 days ago,India and Pakistan are both claiming victory after this week’s clashes. Will cooler heads prevail?,2025-05-18T13:44:59.847673,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-09T13:44:59.848615,9 days ago,India and Pakistan Escalate Attacks to Military Bases,2025-05-18T13:44:59.848615,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.851461,11 days ago,India strikes - how will Pakistan respond? Four key questions,2025-05-18T13:44:59.850425,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.852426,10 days ago,Updates: India and Pakistan accuse each other of waves of drone attacks,2025-05-18T13:44:59.851461,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:44:59.853426,3 days ago,India and Pakistan Agree to a Cease-Fire After Kashmir Attack: What to Know,2025-05-18T13:44:59.852426,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-09T13:44:59.854426,9 days ago,India and Pakistan: The first drone war between nuclear-armed neighbours,2025-05-18T13:44:59.853426,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-11T13:44:59.855426,7 days ago,What can be learned from the latest conflict between India and Pakistan?,2025-05-18T13:44:59.855426,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-06T13:44:59.856425,12 days ago,"India-Pakistan Updates: India hits Pakistan, Pakistan-administered Kashmir",2025-05-18T13:44:59.856425,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.857424,17 days ago,Pakistan claims it has ‘credible intelligence’ India will strike within 36 hours,2025-05-18T13:44:59.857424,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://edition.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-13T13:44:59.858425,5 days ago,India’s ‘new normal’ of perpetual war will damage its democracy,2025-05-18T13:44:59.858425,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-02T13:44:59.860520,16 days ago,India and Pakistan face conflict again - how did they de-escalate in the past?,2025-05-18T13:44:59.859424,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.861587,10 days ago,India-Pakistan Conflict Escalates: Latest Updates,2025-05-18T13:44:59.860520,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://time.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.862638,11 days ago,"India strikes deep inside Pakistan, Pakistan claims 5 Indian jets shot down, in major escalation",2025-05-18T13:44:59.861587,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.863625,11 days ago,Information war: Are India and Pakistan telling the truth about attacks?,2025-05-18T13:44:59.863625,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.864634,11 days ago,India fires missiles on Pakistan. Islamabad calls it an ‘act of war’,2025-05-18T13:44:59.864634,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-09T13:44:59.866497,9 days ago,What We Know About the Terrorist Groups India Said It Targeted,2025-05-18T13:44:59.865630,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.866497,11 days ago,How India Is Threatening to Weaponize Water in Its Conflict With Pakistan,2025-05-18T13:44:59.866497,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://time.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-06T13:44:59.867666,12 days ago,India-Pakistan war: A chilling 2019 study had predicted a nuclear war in 2025 and what could happen,2025-05-18T13:44:59.867666,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-05T13:44:59.868617,13 days ago,"With militaries upgraded, risks multiply in any potential India-Pakistan conflict",2025-05-18T13:44:59.868617,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.870425,10 days ago,‘Don’t want war’: Kashmiri towns caught in deadly India-Pakistan crossfire,2025-05-18T13:44:59.869631,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Apr 29,Apr 29,"A massacre has reignited the forever war between India and Pakistan – once more, Kashmiri voices are missing",2025-05-18T13:44:59.870425,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-11T13:44:59.872626,7 days ago,India Pakistan Conflict Highlights: India slams Pakistan for violating understanding on stopping military...,2025-05-18T13:44:59.871634,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://m.economictimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-10T13:44:59.873636,8 days ago,Pakistan launches Operation Bunyan Marsoos: What we know so far,2025-05-18T13:44:59.872626,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-09T13:44:59.874624,9 days ago,India-Pakistan live: India says it ‘repulsed’ multiple drone attacks near border,2025-05-18T13:44:59.873636,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.the-independent.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
